,Unnamed: 0,responsobilities
14,14,"Работа в Екатеринбурге. Производство металлоконструкций . Работа в цехах. Жидкие краски. Покраска пульверизатором, кисточками, валиками, воздушным пистолетом.  От 4 разряда . Опыт работы от 1 года.  График 60/30 Шестидневная рабочая неделя, воскресенье выходной.  Проезд, проживание, медосмотр, спецодежда БЕСПЛАТНО.  Своевременная выплата заработной платы 2 раза в месяц.  От 102 000 р (за 26 рабочих смен).  Официальное трудоустройство.  ПРЯМОЙ РАБОТОДАТЕЛЬ."
15,15,"Для работы вахтовым методом во Владимирскую область на предприятие по производству автобусов требуются маляры на полуавтомат.  Требования:   - покраска металлов краскопультом и безвоздушным путем.  Мы предлагаем :  -Вахта 60/30. Оформление по ТК РФ.  -График работы 6 дней в неделю по 12 часов в день. Есть как дневные смены, так и ночные.  -Стабильная оплата труда.  -Проживание в г. Владимире. До предприятия возит служебный автобус.  - компенсация проезда до 2500 руб"
16,16,"На вахту в город Владимир требуются маляры.  Обязанности: покраска металлов краскопультом и безвоздушным путем  Условия:  + Своевременная выплата заработной платы 2 раза в месяц, на карту;  + Заработная плата 340 р в час в дневную смену, 370 в ночную  + Питание в столовой завода, возможно в счет заработной платы;  + Проживание в благоустроенных квартирах, в шаговой доступности от места работы;  + Оплата билетов до 2500;  + Медосмотр за счет работодателя – проходите по приезду;  + бесплатно предоставляется спец. одежда;  + Официальное трудоустройство по ТК;"
17,17,"Покраска металлических изделий с подготовкой. Стабильная, высокая зп. Опыт работы с окрасочным аппаратом. Возможно ежедневная оплата."
18,18,"Требуются маляры на производство вахтой.  Покупаем билеты Зарплата указана за 1 месяц Обязанности: Выполнять шпатлевание, воздушная покраска на высоте до 20 метров, проолифливание и грунтование поверхностей вручную. Окрашивать оштукатуренные поверхности и металлоконструкции масляными составами кистями и валиками. Окрашивать водными составами поверхности стен и потолков с использованием ручных краскопультов. Работа в паре 3-4 человек Требования: - Удостоверение промышленный альпинист - Официальный опыт работы"
19,19,"Приглашаем на постоянную работу маляров по металлу. Работа в городе Туапсе (Краснодарский край). Вахта.Все официально!  Обязанности:  • Подготовительные работы( укрытие оборудования, конструкций, сборка-разборка строительных лесов, организация канатных, веревочных анкерных систем)  • Пескоструйная очистка  • Обезжиривание, обеспыливание поверхности  • Нанесение грунтовочного слоя ЛКМ ( Изолэп-праймер)  • Нанесение финишного слоя ЛКМ ( Политон УР-УФ)  • Уборка строительной площадки  Требования:  • опыт работы на высоте с канатным доступом (промышленный альпинизм).  Условия:  • прямой работодатель, НЕ АГЕНТСТВО  • официальная зарплата без задержек на банковскую карту ( 2 раза в месяц).  • Проезд, проживание, питание за счет компании.  • Спец.одежда и инструмент выдается.  • Возможность профессионального роста до бригадира, мастера, прораба.  • вахта 56/18- от 181 000 за вахту.  • вахта 90/30- от 300 000 за вахту.  • График работы: С пн.-пт. 10-ти часовой раб. день, сб.-8-мичасовой раб. день. Вс. -выход.  АКЦИЯ: Приведи с собой толковых специалистов и получи премию 5000 рублей за каждого приведенного. ВАКАНСИЙ МНОГО, работу найдем для ВСЕХ!"
20,20,"Для работы вахтовым методом во Владимирскую область на предприятие по производству автобусов требуются маляры на полуавтомат.  Требования:   - покраска металлов краскопультом и безвоздушным путем.  Вахта 60/30. Оформление по ТК РФ.  График работы 6 дней в неделю по 12 часов в день. Есть как дневные смены, так и ночные.  Стабильная оплата труда.  Проживание в г. Владимире. До предприятия возит служебный автобус.  - компенсация проезда до 2500 руб"
21,21,"от 85 000 руб.  График работы  Сменный график  Предоставляется  Питание  Условия  Оформление по ТК РФ;  График 2/2;  Cтабильный заработок;  Спецодежда, бесплатное молоко.  Обязанности  Подготовка деталей к покраске, покраска краскопультом.  Выполнение сменных заданий."
22,22,"Полный цикл малярных работ по массиву, МДФ, шпону, металлу, фанере. Отличное техническое оснащение малярного цеха. Знанать систему подготовки сжатого воздуха..."
23,23,"Выполнение отделочных работ: штукатурные, малярные, облицовочные."
24,24,"Выполнение механизированных работ по уплотнению покрытий автомобильных дорог. Подготовка к работе, проверка исправности, контроль технического состояния ТС."
25,25,"Работа вахтой! Монтажники МК. Ставка 320 руб/час + 450 суточные. Вахта 30/30, 60/30 и бесплатное проживание! г. Липецк  ?? Условия:  — Оформляем в штат; — График 6/1 по 11 часов; — Проживание предоставляем - обустроенный хостел - вам только взять средства/предметы личной гигиены; — Доставка до места работы - в пути 15 минут; — Смена 3520 руб. + 450 суточные; — Выплаты два раза в месяц; — Спецодежду выдаем.  ?? Обязанности: — выполнение монтажных работ, сборка конструкций сооружений из отдельных элементов; — зачистка стыков собираемых конструкций; — затяжка монтажных болтовых соединений; — установка талей, полиспастов, лебедок и домкратов.  ?? Требования: — опыт монтажных работ от 1 года; — опыт работы с электроинструментами.  Наши менеджеры проконсультируют вас с пн - пт с 9:00 до 18:00.  Теги: работа вахтой, работа монтажником МК, вахтовый метод работы, вахты с суточными, выплата суточных, работа с проживанием, работа с доставкой, смена 11 часов, монтаж МК, полная смена, работа рядом, монтажник 5 разряда, монтажник 6 разряда."
0,0,"Компания Окское — крупнейший производитель пищевого куриного яйца в Рязанской области. Лидер птицеводческой отрасли по качеству продукции и удовлетворенности потребителей. Компания 50 лет на рынке, 6 обособленных подразделений, штат - более 900 сотрудников. Мы постоянно развиваемся и стремимся к лучшему.  Обязанности:  — Организация и контроль вывоза производственных отходов   — Разработка локальных нормативных актов в области экологической безопасности, организация производственного экологического контроля на источниках выбросов   — Экологическая отчетность  Требования:  — Высшее образование   — Умение работать в режиме многозадачности  Условия:  - График работы 5/2 с 08.00 до 16.30 - Премии за рац. предложения по улучшению - Премии к праздникам - Обучения за счёт организации - Тренажерный зал для сотрудников на территории п.Окский - Дружный коллектив - Возможность карьерного роста - Оформление ТК РФ - Спецодежда для нового сотрудника - Материальная система поощрения KPI ежемесячно  Данная вакансия открыта в п.Окский  Звонить в рабочее время с понедельника по пятницу с 8:00 до 16:30"
1,1,"В связи со значительным увеличением объёма производства, открыт набор сотрудников.  Условия:  — Рабочее место на территории завода промышленного литья (г.Чебоксары, Чувашская Республика) — Повременно-премиальная &quot;белая&quot; оплата труда от 90 000 руб/мес на руки за дневные смены, работа в ночное время с доплатой 40% — Своевременная выплата заработной платы, БЕЗ задержек — График работы 6/1 по 11 часов — Официальное трудоустройство согласно ТК РФ — Спецодежда и СИЗ предоставляются, — На заводе имеется столовая и оборудованные места для приема пищи — Для иногороднего персонала предоставляется жильё — Проезд до места выполнения работ и мед.осмотр обеспечивается за счет работодателя  Обязанности:  — Работы по ремонту промышленного оборудования  Требования:  — Опыт работы на аналогичной должности не менее 3 лет — Удостоверение/ запись в трудовой книжке от 4 разряда — Отсутствие ограничений по здоровью в соответствии со специальностью"
2,2,"Условия: • Ежедневные выплаты, уровень заработка (от 3000р/день).  • Оформление по ТК.  • График 5/2.  • Рабочий день с 10:00 до 18:00.  • Профессиональный дружный коллектив.  • Предоставляется униформа.  • Наши сотрудники проходят обучение в учебных комбинатах &quot;Мособлгаз&quot;.Все необходимые документы, лицензии и допуски для проверки газового оборудования зарегистрированы в реестре государственной жилищной инспекции. Обязанности: • Проведение плановых проверок, технического обслуживания внутриквартирного и внутридомового газового оборудования.  • Выявление отклонений ВКГО и ВДГО на предмет механических повреждений, коррозий, наличия блуждающих токов, сроков эксплуатации запорной арматуры, подводов и всех соответствующих работ для безопасного использования газового оборудования согласно ГОСТУ 54961 от 2012 года.  • Ремонт и ТО котельного газового оборудования..  • Составление технического наряда на оказание услуг.  • Монтаж/демонтаж внутриквартирного и внутридомового газового оборудования.  • Отчетность о проделанной работе.  Требования:  Образование - Среднее  Опыт работы - Не требуется  Водительские права - права категория B, как преимущество.  Наличие автомобиля, как преимущество.  Ответственность.  Внимательность.  Организованность.  Знание работы с котельным оборудованием.  Знание автоматик ведущих фирм.  Опыт работы с пластиковыми материалами Рехау, ТЦ.  Желание, наличие инструментов."
3,3,"Наша компания занимается монтажом самых современных конструкций и узлов в натяжных потолках. Необходим монтажник, на постоянную работу в команде, либо самостоятельно на объекте, имеющий опыт работы в потолках, понимающий физику полотна, умеющий стыковать различные профильные системы, обучаемый и внимательный к мелочам. Из требований: наличие автомобиля и базового набора инструмента. Способность переобучения и адекватное восприятие критики.  Достойная зарплата по результату работы. Ищущим временный заработок просьба не беспокоить."
4,4,"Требования:  — высшее профессиональное (техническое или инженерно-экономическое) образование; — опыт работы по специальности на инженерно-технических и руководящих должностях не менее 3-х лет; — знание распоряжений, приказов, методических, нормативных материалов по организации ремонта оборудования; — знание производственных мощностей, технических характеристик, конструктивных особенностей, назначения, режимов работы и правила эксплуатации оборудования предприятия; — знание методов монтажа и ремонта оборудования, организации и технологии ремонтных работ; — знание порядка составления паспортов на оборудование, инструкций по эксплуатации, ведомостей дефектов, спецификации и другой технической документации; — знание требований рациональной организации труда при эксплуатации, ремонте и модернизации оборудования и ремонтной оснастки; — знание правил и норм охраны труда.  Обязанности:  — организация разработки, утверждения и вступления в силу приказов, инструкций по охране труда, пожарной безопасности, прочих норматив но-технических документов, необходимых для работы предприятия; — координация разработки планов (графиков) осмотров, испытаний и профилактических ремонтов оборудования в соответствии с положениями Е диной системы планово-предупредительного ремонта, утверждение этих планов с директором; — координация межремонтного обслуживания, ремонта и модернизации оборудования, работы по повышению его надежности и долговечности, обеспечение рационального использования материалов на выполнение ремонтных работ; — организация проведения и участие в инвентаризации производственных основных средств; — определение устаревшего оборудования, требующего капитального ремонта, и установление очередности ремонтных работ; — разработка и внедрение мероприятий по сокращению внеплановых ремонтов и простоев; — организация, контроль и проведение в установленные сроки осмотр ГПМ, крановых путей, съемных грузозахватных приспособлений и др. технологического оборудования; — взаимодействие с подрядными организациями (ремонт, закуп); — взаимодействие с надзорными органами; — координация соблюдения правил охраны труда и техники безопасности при проведении ремонтных работ оборудования и ГПМ; — руководство деятельностью технических служб предприятия; — руководство работой по обеспечению охраны труда руководителями структурных подразделений; — организация и проведение в установленные сроки обучения и проверки знаний по охране труда и безопасности труда руководителей структурных подразделений, специалистов, инженерно-технических работников и рабочих, инструктирования работников организации по охране труда.  Условия:  — работа в крупной развивающейся федеральной компании; — официальное трудоустройство, полностью белая заработная плата, социальный пакет; — компания несет ответственность за каждого сотрудника - адаптирует его, обучает, дает все инструменты для работы; — официальное трудоустройство; — режим работы: с 8:00 до 17:00"
5,5,"Рассматриваем РФ. Других нет  ??Требуются машинисты бульдозера 6 разряда Тагульском (Красноярский край) и Русском (ЯНАО) месторождениях.  ??Уважаемый кандидат, если ты любишь уходить в запой, пожалуйста не трать свое время и переходи к другим вакансиям. Если же ты можешь держать себя в руках и считаешь себя ответственным человеком, пожалуйста прочти полностью мое объявление и прими верное решение!  ??Условия для тебя:  - Полностью белая зарплата и официальное трудоустройство  - Вахта 60\60, 60\30 (если отработать более 60 дней за вахту выплачиваем премию)  - Работа на технике нашей компании (Четра Т-11, Komatsu D-65, Shantui SD 17, 24  - Проживание в 8 местных вагончиках по 6 человек  - Питание в столовой 3-х разовое  - Выдача спец. одежды  - Компенсация проезда и северной медкомиссии  ??Твои рабочие обязанности:  - Выполнение работ по планировке грунта на объектах строительства и содержанию грунтово-лежневых работ  ?Что мы от тебя ждем:  - Опыт работы на бульдозере от 3-х лет. Стаж должен быть обязательно подтвержден (либо по трудовой, либо по договору)  - Наличие удостоверения тракториста кат. Е  - Справка о не лишении прав (получается через госуслуги за 5 минут)"
6,6,Машиностроительный завод город Екатеринбург  Требуется Маляр ЛКП!  Обязанности:  - Нанесение лакокрасочного покрытия методом безвоздушного напыления  - Подготовка к покраске  - Маркирование изделий  Условия:  - З/п от 110 000р в месяц  -Вахта 60/30  -Проживание в квартире за счет работодателя  -Проезд оплачивается  -Спецодежда и медосмотр за счет компании  -Стабильная заработная плата без задержек  -Официальное трудоустройство согласно ТК
7,7,"Рассматриваем РФ. Других нет  ??Требуются машинисты бульдозера 6 разряда Тагульском (Красноярский край) и Русском (ЯНАО) месторождениях.  ??Уважаемый кандидат, если ты любишь уходить в запой, пожалуйста не трать свое время и переходи к другим вакансиям. Если же ты можешь держать себя в руках и считаешь себя ответственным человеком, пожалуйста прочти полностью мое объявление и прими верное решение!  ??Условия для тебя:  - Полностью белая зарплата и официальное трудоустройство  - Вахта 60\60, 60\30 (если отработать более 60 дней за вахту выплачиваем премию)  - Работа на технике нашей компании (Четра Т-11, Komatsu D-65, Shantui SD 17, 24  - Проживание в 8 местных вагончиках по 6 человек  - Питание в столовой 3-х разовое  - Выдача спец. одежды  - Компенсация проезда и северной медкомиссии  ??Твои рабочие обязанности:  - Выполнение работ по планировке грунта на объектах строительства и содержанию грунтово-лежневых работ  ?Что мы от тебя ждем:  - Опыт работы на бульдозере от 3-х лет. Стаж должен быть обязательно подтвержден (либо по трудовой, либо по договору)  - Наличие удостоверения тракториста кат. Е  - Справка о не лишении прав (получается через госуслуги за 5 минут)"
8,8,Машиностроительный завод город Екатеринбург  Требуется Маляр ЛКП!  Обязанности:  - Нанесение лакокрасочного покрытия методом безвоздушного напыления  - Подготовка к покраске  - Маркирование изделий  Условия:  - З/п от 110 000р в месяц  -Вахта 60/30  -Проживание в квартире за счет работодателя  -Проезд оплачивается  -Спецодежда и медосмотр за счет компании  -Стабильная заработная плата без задержек  -Официальное трудоустройство согласно ТК
9,9,"На постоянную работу требуется инженер для работы в составе электротехнической лаборатории.   Обязанности: определение места повреждения кабельных линий до 10 кВ. Испытание кабельных линий, силовых трансформаторов. Наладка, проверка релейной защиты и автоматики.   Проводится стажировка вновь принятых работников. Образование не ниже средне-специального обязательно."
10,10,"Oписаниe работoдателя: стрoительнaя компaния  Трeбoвания: Ответственность, опыт работы аналогичной должности на  Автокран XCMG 25 тонн  Вылет стрелы 40м   Бережное отношение к технике, пунктуальность, знание техники.   -Наличие удостоверения, подтверждающее Вашу квалификацию.  Обязaннoсти: Выполнение укaзaний пpoрaбa, следить за вверeннoй строительной тeхникой, свoевpеменно диагнoстиpовaть неполадки ( есть своя ремонтная база , со слесарями , механикам и всеми необходимыми инструментами),  корректно веcти отчeтныe документы.  -Выпoлнeнии погpузo-разгрузoчныx paбот, cтрoительно-монтажных pабoт (пoдачa бетoна, cтpоительныx мaтеpиалoв и кoнструкций),  -Монтаж желeзoбетoнныx кoнструкций, монтаж съемной универсальной строительной опалубки  ВНИМАНИЕ: РАБОТАЕТ НА СВОЕМ ОБЪЕКТЕ  Уcловия: комфортные условия работы , с ПРОЖИВАНИЕМ , отдельная комната, работа только на своих объектах в районе красной площади !!!   -Тарифная ставка 350р./ час.  - Переработка после 19:00  370р/час  - ремонтный час 110 рублей"
11,11,"Компания &quot;Карьер - Сервис&quot;. Нам требуются машинисты на гусеничный экскаватор с опытом.  Техника своя - импорт,  марок CAT,  JCB, Kоmatsu, Hyundai, Hitachi и др.  Условия:  — Работа вахтой 20-10, либо 15-15   — Ставка 450 рублей в час, смены по 10-11 часов   — Объекты в Самарской области, а также в ближних областях (Ульяновск, Оренбург, Татарстан)   — Проживание в комфортных условиях со всеми удобствами: дом/ квартира   — Компенсация ГСМ / билета до вахты и обратно   — ЗП 2 раза в месяц на карту   — Командировочные еженедельные   — Выдаем спецодежду  Звоните с 8 до 17:00 или оставляйте отклики!"
12,12,"???Требуются маляры ЛКП лакокрасочных покрытий ВАХТОВЫМ методом работы в Г. ЕКАТЕРИНБУРГ!  БЕСПЛАТНОЕ ПРОЖИВАНИЕ (квартира, со всеми удобствами, без живностей)  ??БЕСПЛАТНЫЙ ПРОЕЗД С ВАШЕГО ГОРОДА ДО ОБЪЕКТА И ОБРАТНО!!!  ?? Требования:  — Опыт работы маляром безвоздушной покраски не менее 6 месяцев; — Чтение чертежей (минимальное)  ?? Обязанности:  — Качественное окрашивание поверхностей жидкими красками, эмалями и лаками в несколько тонов и отделка поверхностей шлифованием, лакированием и полированием; — Окрашивание после грунтования поверхностей методом холодного воздушного и пневматического распыления; — Определение качества применяемых лакокрасочных материалов; — Наладка механизмов, применяемых в производстве малярных работ (УБР, пневматические распылители).  ?? Условия:  ПРЯМОЙ РАБОТОДАТЕЛЬ!  УДЕРЖАНИЙ НИКАКИХ НЕТ!!!  — Оплата с первого дня; — Ночные смены оплачиваются больше на 20% от почасовой ставки; — Полностью официальное оформление по ТК; — БЕСПЛАТНОЕ проживание в квартире (условия хорошие, без живностей. Все для комфортного проживания предоставляется!); — Спецодежда выдается бесплатно; — Стабильная работа без задержек; — Работа вахтовым методом на выбор 60/30, 90/30. — Корпоративный транспорт от места проживания до работы и обратно;  Продление вахты возможно на месте. 90% сотрудников продлевают вахту и остаются с нами.  Присоединяйтесь к нашей дружной команде!  Звоните и пишите в удобное для вас время!"
13,13,"открываем набор в:  Забайкальский край п. Новая Чара (Месторождение Удокан)  Вахта на 2 мес  Специальность:  Монтажник тт – 380 руб/час – 125 400 руб в мес  Условия:  - график работы с 8.00 до 20.00 обед с 12.00 до 13.00 без выходных, ночных смен нет  -  3-х разовое питание в столовой за счет организации в 10 метрах от общежития  - спецодежда, СиЗы предоставляются  - проживание в общежитии по 4-6 чел ( Есть душ, постельное белье выдает Заказчик, сушильные комнаты, все соответствует нормам)  Требования:  - стаж не менее 3 лет (обязательное подтверждение трудовой книжкой или выпиской из Госуслуг)  Документы:  - Паспорт с пропиской  - квалификационное удостоверение монтажника тт  - Размеры спецодежды (Размер, Рост, Размер обуви)  - При устройстве – трудовая книжка, снилс, инн, реквизиты счета.  После предоставления всех документов, согласование службой безопасности длится 3-4 рабочих дня. После этого, кандидат проходит собеседование по телефону. После положительного результата, работник получает билеты и заезжает на объект."
14,14,"Обязанности:  — Управление экскаватором;   — Поддержание техники в хорошем техническом состоянии;   — Погрузочно-разгрузочные работы.  Требования:  — Опыт работы от 3-х лет в данной области;   — Квалификационное удостоверение не ниже 5 разряда. .  Условия:  — Трудоустройство в соответствии с ТК РФ;   — Работа на объекте: о. Врангель (Приморский край)   — Работа вахтовым методом: график 60/30 (дней);   — Компания предоставляет: спецодежду, проживание;   — Работодатель организует 3-х разовое питание в столовых на объектах строительства;   — Оплачивается проезд сотрудников компании от базовых городов (Санкт Петербург, Москва, Краснодар, Уфа, Омск, Новосибирск, Красноярск, Иркутск и др.);   — Трудоустройство осуществляется в офисах компании в г. Уфа, Омск;   — Заработная плата за полный рабочий месяц: от 160 000 рублей (после вычета НДФЛ);   — Работа в крупной, стабильной-развивающейся компании нефтегазового комплекса.  Убедительна просьба звонить в рабочее время пн-пт с 08:00 до 17:00 по Московскому Времени"
15,15,"Старший инженер  Вакансии: Кунашакский район, Челябинская область.  Работа в Черкизово — это:  — Стабильность – компания работает без приостановок; — Удобный график работы 5/2 с 08:00 до 17:00; — Столовая на территории предприятия; — Легкая дорога до работы и обратно на бесплатном корпоративном транспорте; — Бесплатные ежегодные медосмотры; — Бесплатное предоставление качественной спецодежды; — Бесплатное общежитие; — Трудоустройство с первого дня; — Стабильная, белая заработная плата без задержек (2 раза в месяц); — Соцпакет: оплата больничных и отпусков; — Новогодние подарки от компании для ваших детей.  Возможность профессионального роста. Возможность дополнительного заработка: Приведи друга и получи бонус 15 000 рублей!  Основные задачи:  — Контролировать выполнение работ, технологических графиков и распоряжений непосредственного руководителя. — Перед приемом смены принимать всю документацию от предыдущей смены со всеми замечаниями. — Обеспечивать нормальную работу механизмов и систем контроля и автоматики инкубаторов, микроклимата и всего технологического оборудования цеха  Наши ожидания:  — Желание работать; — Готовность к физической нагрузке; — Диплом среднее - специальное, либо высшее образование в области энергетики или механизации.  Рассматриваем кандидатов как без опыта работы, так и с опытом работы на вакансии: упаковщик, грузчик, разнорабочий, изготовитель, мойщик, сборщик, кассир, продавец, продавец-кассир, продавец - консультант, работник торгового зала, а также кандидатов с опытом работы в: Мираторг, Русагро, Магнит, Лента, Равис, Калинка, Ариант.  Адрес места работы: Челябинская обл., Кунашакский р-н, п. Муслюмово жд/ст.  Подробности о вакансии вы можете узнать по телефону или в сообщениях!"
