class,text
1,Проверка исполнительной документации субподрядных организаций
1,Подсчет по проекту объемов работ и материала
0,Ответственность
2,Обучение за счет предприятия;
2,Официальное трудоустройство (полный соц. пакет: оплата больничных листов отпусков и т.д.);
2,График работы: 5/2 - сменный;
2,Дотация на питание в столовой производства;
2,Своевременная выплата заработной платы 14 и 29 числа;
2,Бесплатная вахта по всем проспектам;
2,Возможности карьерного и профессионального роста;
2,Культурно-массовые мероприятия.
1,Сборка алюминиевых конструкций по чертежам;
1,Изготовление нащельников и отливов на ручном листогибочном станке
1,Работа на современном оборудовании
0,Опыт работы от 1 года (желательно опыт работы по обработке алюминиевого профиля);
0,Образование от среднего-специального;
0,Опыт в смежных областях (на окнах ПВХ на станках производственных предприятиях);
0,Умение читать чертежи.
2,Официальное трудоустройство и социальный пакет согласно ТК РФ;
2,Своевременную выплату заработной платы 2 раза в месяц;
2,График работы 5-дневная рабочая неделя с 8.00 до 17.00;
2,З/плата от 50 000 (сдельная оплата труда) обсуждается на собеседовании;
2,Место работы: Уралмаш ул. Артинская 17 А;
2,Обучение наставничество на период испытательного срока;
2,Комфортные условия труда: тепло светло выдаем спец. одежду и СИЗ не забываем про праздники.
1,Разработка проектной документации по системам электроснабжения и электрического освещения (стадии П и Р).
1,Выполнение расчётов подбор оборудования.
1,Взаимодействие со смежниками.
1,Контроль работы удаленных сотрудников
1,Выезд на объект по мере необходимости
0,профильное высшее образование
0,уверенное владение специализированными программами
0,хорошее знание нормативной базы
2,Оплачиваемый испытательный срок 3 месяца
1,Производство модульных каркасных домов в цеху
1,Сборка модулей на участках заказчиков (на выезде) занимает от 1-3 дней в зависимости от комплектации
0,Опыт работы в строительстве каркасных и модульных строений
0,Знания технологий и особенностей строительства деревянного домостроения
0,Знание технологии ведения кровельных фасадных и отделочных видов строительных работ
2,Весь инструмент предоставляем инструмент качественный и новый
2,Работа в команде любящих свое дело
2,Испытательный срок 2 месяца
2,Заработная плата - сдельно-премиальная/ оклад. Зарплата зависит от выполнения плана
2,Гарантия выполнение всех трудовых обязательств со стороны работодателя
1,Входной контроль проектной и рабочей документации по объекту строительства подготовка замечаний.
1,Подготовка графиков производства работ проектов производства работ технологических карт исполнительной документации на объекте;
1,Контроль за работами выполняемыми на объекте в том числе субподрядными и специализированными строительными организациями;
1,Подготовка предложений по повышению эффективности строительного производства технического перевооружения организации;
1,Подготовка актов выполненных работ КС-2 сдача выполненных работ заказчику (генподрядчику);
1,Подготовки документации для сдачи объекта капитального строительства в эксплуатацию;
1,Взаимодействие производственно-технического отдела со смежными подразделениями строительной организации.
0,Высшее строительное образование;
0,Обязателен опыт работы инженером ПТО не менее 3-ех лет;
0,Уверенный пользователь ПК знание MS Office (Word Excel);
0,Желательно знание AutoCad PowerPoint.
2,Работа в г. Харцызск;
2,Официальное оформление;
2,Официальная заработная плата;
2,График работы 5/2.
1, Проработка земельного участка совместно со службой развития до принятия решения о его приобретении (в части себестоимости ТЭП с учетом влияния внешних факторов). 
1, Получение технических условий от соответствующих служб города. Минимизация затрат на технологическое подключение. Получение исходно-разрешительной документации для проектирования. 
1, Проектирование объекта с учетом требований рынка и критериев проектирования домов с минимальной себестоимостью. 
1, Прохождение Государственной экспертизы проекта. 
1, Получение разрешения на строительство. 
1, Работа с государственным строительным надзором по вопросу осуществления надзора за строительством. 
1, Сдача объекта в эксплуатацию. Получение разрешения на ввод. 
1, Разработка графика строительства сметы строительства (ресурсным методом). 
0,Высшее образование ПГС
0, Знание нормативно-правовой документации регулирующей строительную отрасль; 
0, MS office (Excel Word Почтовый программыPower Point) Autocad 1С Autodesk Navisworks. 
2,Полный соц. пакет белая зарплата
2,Работа в комфортабельном современном офисе БЦ Пять Морей
2,ДМС Корпоративный спорт
2,Работа в растущей компании лидере рынка;
2,Очень много достойно оплачиваемой работы!
1,Обеспечение выполнения производственного плана в соответствии с графиками производства работ
1,Организация обеспечение и контроль качества работ
1,Приемка выполненных работ сдача работ строительному контролю Заказчика
1,Планирование и организация материально-технического обеспечения объекта
1,Контроль расходования
1,Приемка стройматериалов и их предварительный заказ
1,Свободное чтение чертежей и другой проектной документации продвинутый пользователь AutoCAD
1,Ведение строительных журналов и табелей
0, Обязателен опыт работы прорабом общестроительных и отделочных работ 
0, Опыт работы в структуре генподряда приветствуется 
0, Образование профильное (желательно ПГС) 
0, Опыт работы на данной должности от 3 лет общий стаж в ​строительстве от 5 лет
0,Знание СНиП и ГОСТ
0,Исполнительность ответственность коммуникабельность системность
0,Организаторские способности хозяйственность ориентированность на результат самообразование
2,Оформление согласно ТК РФ
2,Полностью белая заработная плата
1,Замена/установка розеток выключателей навеска люстр замена автоматов
1,Отчет о проделанной работе
2,Удобные графики работы на выбор: 2/2 3/3 4/4 4/2 4/3 5/2 6/1
2,Ежедневные выплаты ЗП сразу после выполнения работ
2,Работа по выбранному округу
2,Постоянный поток заказов вне зависимости от сезона – минимум 3 заявки ежедневно
0,Минимальный опыт работы(подходит даже бытовой)
1,Создание 3D-моделей зданий и городского окружения
1,Создание фотореалистичных визуализаций экстерьеров
1,Умение создавать фотоколлажи
1,Работа в программах 3D max (+Vray) Corona Photoshop
0,Релевантный опыт работы
0,Готовность выполнить тестовое задание
0,Знание программ 3D max (+Vray) Corona Photoshop (приветствуется знание других графических программ)
0,Умение читать строительные планы и чертежи
2,Удаленная работа из дома в графике 5/2 с 9:30 до 18:30 или с 10:00 до 19:00
2,Достойный уровень заработной платы (обсуждается по итогам собеседования)
1,Организация и сопровождение проектов
1,Контроль сроков исполнения
1,Контроль исполнения условий договоров
1,Организация совещаний
1,Деловая переписка с заказчиками подрядчиками
1,Формирование протоколов совещания контроль исполнения
1,Внесение предложений по улучшению процессов в компании
0,Способность выстраивать функциональные взаимоотношения
0,Требовательность
2,Постоянное обучение
2,Оклад + постоянная ежемесячная премия 100 000р + до 50 000р KPI
2,"Рабочий день: с 09:00 для ""Жаворонков""; с 11:00 для ""Сов"";"
2,Все наши сотрудники получают профессиональный опыт и карьерный рост.
1,Высшее или средне-специальное профильное образование;
1,Аналогичный опыт работы на строительных объектах от 1 -го года;
1,Знание MS Office.
2,Формирование комплекта ИД (монтаж технологического оборудования и трубопровода);
2,Формирование ведомостей объёмов работ (ВОР);
2,Проверка форм первичной учетной документации КС-2 КС-3 КС-6а;
2,Подготовка оформление ПСД сдача в архив Заказчика;
2,Ведение отчетности о состоянии подписания ИД всеми участниками строительства;
2,Взаимодействие со смежными отделами компании о рамках своей компетенции.
1,организация и качественное исполнение в срок запланированных работ;
1,проведение аэрофотосъёмочных работ с помощью БПЛА (Geoskan 101201 Gemini);
1,проведение геодезических работ с помощью высокоточного спутникового оборудования GNSS (ПВО);
1,первичная обработка полевых данных;
1,контроль за сохранностью рабочего оборудования и техники;
1,командировки по всей территории РФ во время полевого сезона.
0,высшее техническое/средне-специальное образование (направление аэрофотогеодезия прикладная геодезия картография);
0,подтвержденный опыт по выполнению аэрофотосъёмочных работ от 1 года (при условии налёта 100 часов либо 80 полетов);
0,практический опыт применения высокоточного геодезического оборудования GNSS;
0,практический опыт применения БПЛА (типа Geoskan 101201 квадрокоптер Geoskan Gemini DJI Phantom 4);
0,отличное знание специализированных программ (Geoskan Planer);
0,знание нормативной документации используемой при выполнении АФС (Воздушный кодекс РФ Федеральные правила использования воздушного пространства и т.д.);
2,сдельная оплата труда (оклад + оплата за выполненную работу);
2,оформление по ТК РФ официальная заработная плата;
2,молодой и дружный коллектив;
2,карьерный рост ежегодная премия и индексация заработной платы;
2,ДМС после прохождения испытательного срока;
2,предоставление отсрочки от призыва на военную службу по мобилизации и в военное время.
1,Выполнение работ по строительству и ремонту автомобильных дорог;
1,Устройство дорожного основания (песок щебень) асфальтобетонного покрытия и тротуаров;
1,Установка бордюрного камня укладка тротуарной плитки мощение брусчатки устройство элементов благоустройства;
1,Совершение вспомогательных и подсобных работ на участках и строительных площадках.
1,Работы по благоустройству территории.
0,Исполнительность трудолюбие работа в команде;
0,Готовность к переработкам в случае необходимости.
1,Разработка разделов проектной документации ПОС ПОД в соответствии с Постановлением Правительства РФ от 16.02.2008 № 87 «О составе разделов проектной документации и требованиях к их содержанию».
1,Разработка ППР ППРд ППРпс ТК.
1,Работа с экспертизой.
1,Устранение замечаний.
1,Участие в сборе исходных данных для проектирования.
1,Ведение реестра проектной документации.
0,Высшее техническое (желательно строительное) образование.
0,Знание Автокад.
0,Знания и умение работать с нормативно-технической документацией.
0,Желателен опыт прохождения ГГЭ.
0,Возможна работа в том числе выпускникам-бакалаврам и студентам магистратуры.
0,Если Вы ещё не работали с какими-то разделами например Вы разрабатываете ПОС но не занимаетесь ППР приходите-научим.
2,Работа в офисе пн.-пт. с 9.00-18.00. Обед с 13.00 до 14.00.
2,Обучение за счёт компании.
2,Офис находится на Маркса 30/1 оф.413.
2,Филиал: г. Москва пр-т Волгоградский 35 оф 303б
1,Монтаж электрики по проектам в каркасных домах;
1,Протяжка проводов в гофре монтаж коробок выключателей освещения (согласно проекту).
0,Опыт работы электриком от года.
0,Желание работать.
2,ЗП сдельная высокая 2 раза в месяц;
2,Основная работа в цеху но часть работы происходит на выезде (на монтаже дома).
1,подготовка отчетной документации по проведению строительного контроля;
1,подготовка и учет корреспонденции;
1,ведение протоколов совещания;
1,подготовка документов для закупочных процедур;
0,высшее строительное образование (ПГС)
0,рассмотрим специалиста на начальном профессиональном уровне.
2,работа в Федеральном автономном учреждении Министерства строительства и ЖКХ РФ;
2,обучение карьерный рост;
2,оформление в полном соответствии с ТК РФ;
2,график работы: 5/2 с 9.00. до 18.00пятница короткий день;
2,полный социальный пакет предусмотренный трудовым законодательством (официальные отпуска оплата больничных листов).
1,Расчет себестоимости работ и материалов светопрозрачных алюминиевых конструкций и вентилируемых фасадов.
0,Высшее техническое образование (желательно строительное);
0,Умение читать чертежи и проектную документацию;
0,Опыт работы от 1 года в строительстве или на производстве (преимуществом будет опыт в сфере производства алюминиевых светопрозрачных конструкций и вентилируемых фасадов);
0,Опыт работы в AutoCad (обязательно);
0,Готовность работать с большими объёмами информации;
0,Умение работать в команде;
0,Знание офисных программ.
2,Трудоустройство согласно ТК РФ;
2,Пятидневная рабочая неделя с 9:00 до 18:00;
2,Место работы: Уралмаш пр. Космонавтов 11А наличие парковки;
2,З/п от 40 000 (обсуждается на собеседовании) выплачивается 2 раза в месяц;
2,Комфортные условия труда новый современный офис не забываем про праздники;
2,Интересные задачи для профессионального и карьерного роста;
2,Молодой дружный коллектив.
1,Комплектация объекта: подбор отделочных материалов мебели и предметов интерьера.
1,Составление коллажей.
0,Высшее образование
0,Владение photoshop
0,sketch up желательно
2,Официальное трудоустройство.
2,Современный офис в центре Москвы 5 минут от метро Фрунзенская.
2,Комфортные рабочие места и оборудование.
1,Cоздание фотореалистичных визуализаций интерьеров и экстерьеров с грамотной постановкой освещения детальной проработкой всех текстур и материалов
1,Самостоятельное создание визуализаций в программе 3dmax Adobe Photoshop
1,Свободное ориентирование в сфере дизайна интерьеров
1,Высокая скорость работы
0,Опыт работы не менее 2 лет
0,Специальное профильное образование
0,Знание программ 3D Max Adobe Photoshop
0,Ответственность стрессоустойчивость креативность и чувство стиля
0,Знание рынка отделочных материалов
0,Знание новых тенденций в дизайне
2,Работа удаленная но не менее 8 часов в день. Внимание! УДАЛЕННАЯ РАБОТА - ЭТО НЕ ЗНАЧИТ КОГДА ХОЧУ РАБОТАЮ А КОГДА НЕ ХОЧУ - НЕ РАБОТАЮ! 
2,Выполнение работы в срок!
2,Стабильная оплата! Без задержек и обмана!
2,Постоянные заказы и проекты
2,Взаимодействие с командой проекта - визуализатор дизайнер чертежник
2,Важно: для рассмотрения Вашей кандидатуры необходимо выслать портфолио на почту либо указать ссылку на него в сопроводительном письме. Не прикрепляйте пожалуйста картинки в hh они не открываются в полном размере!
1,Выполнение подсобных и вспомогательных работ на строительных объектах;
1,Поддержание порядка;
0,Легко обучаемый трудолюбивый выносливый ответственный порядочный исполнительный;
2,Официальное оформление на работу;
2,Достойная оплата труда стабильная и своевременная выплата заработной платы на банковскую карточку;
2,Возможность обучения на машиниста нарезчика швов машиниста заливщика швов машиниста компрессора и другие профессии в дорожном строительстве.
2,Дружный отзывчивый коллектив
2,График скользящий с 8- до 20 или 20-8 возможно работа и в выходные.
1,Проектирование общественных промышленных складских зданий и сооружений
1,Полное руководство объектами проектирования
1,Контроль сроков и качества выпускаемой проектной документации анализ соответствия проектной документации действующим нормативам и законодательству РФ
1,Контроль бюджета по проекту
1,Проведение тендеров на привлечение субподрядных организаций
1,Подготовка задания на проектирование по объекту
1,Руководство процессами по осуществлению авторского надзора
1,Руководство по получению технических условий заключений ГГЭ и разрешений на строительство.
1,Ведение деловой переписки с Заказчиком
0,Высшее техническое
0,От 3 лет в аналогичной должности
0,Уверенный пользователь САПР-программ (AutoCAD и другие)
0,Отличное знание нормативной документации
0,Умение работать с проектной рабочей документацией
0,Отличное знание профильных дисциплин в строительстве
2,"Место работы: БЦ ""Онегин"""
2,Трудоустройство согласно ТК РФ
2,Пятидневная рабочая неделя с 09.00-18.00 (либо 08.00-17.00)
2,Оплата сотовой связи
2,Работа по одному округу Москвы
1,Замена/установка смесителей раковин. сан.узлов. устранение засоров и протечек
2,Разработка фирменного стиля клуба МФК ЛКС.
2,Разработка макетов для размещения в соцсетях на официальной странице клуба и других мини-футбольных сообществах.
2,Дизайн и верстка полиграфической продукции.
2,Разработка дизайна спортивной экипировки и баннерной продукции клуба.
1,Организация процесса отделочных работ;
1,Полное ведение объекта от получения ключей до сдачи готового объекта;
1,Организация и контроль качества работ на закрепленных за Вами объектах;
1,Составление графиков работ и контроль за проведением работ в строгом соответствии с графиком;
1,Взаимодействие с руководителем проекта по всем вопросамсвязанным со строительством;
1,Взаимодействие с заказчиком по всем вопросамсвязанным со строительством;
1,Свободное владение ПК;
0,Опыт работы на руководящей должности от 2х лет;
0,Умение руководить людьми и организовывать производственный процесс;
0,Высокая организованность и работоспособность;
0,Опыт взаимодействия с субподрядчиками;
0,Знание норм выработки по всем участкам отделочных работ;
2,График работы 6/1 с 08.00 до 19.00;
2,3-разовое питание + чай кофе ост. вопросы обсуждаем лично при собеседовании после рассмотрения резюме.
1,Ведение номенклатурного справочника в 1С;
1,Выполнение заявок на заведение элементов номенклатурного справочника 1С;
1,Уточнение технических характеристик номенклатуры в справочниках внутренних информационных источниках у поставщиков задач;
1,Поиск дублей правка ошибок структурирование имеющихся данных;
1,Системная проверка существующей и новой информации в номенклатурном справочнике 1С на предмет наличия ошибок полноты и достоверности данных;
1,Разработка и согласование регламентной и пользовательской документации по ведению НСИ документооборота.
0,Высшее техническое образование;
0,Хорошее знание функциональности программных продуктов на базе 1С: Предприятие 8.3 (1С: Управление холдингом 1С: ERP 1С: УПП 1С: Торговля); Microsoft Office (Excel – опытный пользователь);
0,Знание общих требований к ведению справочной информации (классификация виды НСИ обязательный набор атрибутов и свойств);
0,Знание специфики строительной отрасли;
0,Внимательность к деталям ответственность усидчивость;
0,Умение работать с нормативно-техническими документами (ГОСТ ТУ ОСТ и т.д.);
2,Пятидневная рабочая неделя 8 часовой рабочий день;
2,Возможность профессионального и карьерного роста;
2,Участие в строительстве масштабного проекта
2,место работы г. Красноярск
1,Изготовление деталей систем вентиляции
0,Обучаемость
2,Опыт работы не обязателен
2,Обучение на рабочем месте
2,Рабочий день с 08 до 21 2 через 2
2,Переработка оплачивается отдельно
2,Резюме не отправлять сразу звонить
1,Выполнение работ по монтажу эксплуатации и ремонту систем канализации отопления вентиляции водо- тепло- и газоснабжения и систем обеспечения микроклимата в помещениях.
1,Своевременное устранение неисправности.
1,Оперативное реагирование на аварийные ситуации.
0,Образование средне-техническое
0,Опыт работы в должности сантехника дежурного сантехника.
0,Умение пользоваться электроинструментом.
0,Умение читать аксонометрические схемы
2,График работы 5-2 с 9 до 18 (или дежурный график - 1/3)
2,Официальное трудоустройство по ТК РФ официальная заработная плата с выплатой дважды в месяц
2,Адрес: Театральная площадь дом 3
1,Выполнение графика ППР выполнение ЕТО;
1,Устранение выявленных неисправностей;
1,Выполнение распоряжений и поручений руководства Объекта;
1,Выполнение обходов и осмотров оборудования;
1,Участие в ликвидации аварийных и чрезвычайных ситуаций;
1,Обеспечение безаварийной технической эксплуатации и ремонта систем вентиляции и кондиционирования.
1,Регулировка систем вентиляции и кондиционирования для поддержания заданной температуры и влажности воздуха в помещениях.
1,Осмотр чистка и участие в ремонте вентиляторов форсунок сплит систем насосов надзор за состоянием и работой приборов автоматического регулирования.
0,Опыт работы не менее 2 лет в сфере эксплуатации коммерческой недвижимости на должности техника по обслуживанию систем вентиляции и кондиционирования.
0,Опыт работы с рекуперативными установками.
0,"Знание принципов функционирования систем кондиционирования типа ""чиллер - фэнкойлы - индивидуальный тепловой пункт""."
2,оформление по ТК РФ.
2,График работы 2/2 с 09:00 до 09:00.
2,Заработная плата 75.000 -80000 рублей (на руки).
2,Место работы - г. Москва ул. переулок Добролюбова
0,образование архитектура (рассматриваются также студенты последних курсов)
0,опыт работы с концепциями проектной и рабочей документацией по жилым и общественным объектам от 1 года;
0,умение работы в AutoCAD InDesign illustrator Photoshop SketchUp приветствуется опыт работы в Revit
2,конкурентная заработная плата выплаты два раза в месяц на банковскую карту
2,возможно бесплатное предоставление проживания
1,место работы: завод по производству строительных металлоконструкций (Московская область гор. Коломна);
